video_id,title,published_at,channel_title
NoR64RuFRYM,Lil Chainz & MHRAP - Cascavel 🐍,2023-04-06T18:00:06Z,Lil Chainz
uqJIR4stoKY,Lil Chainz - Nunca Chore Por Vadias,2023-03-15T19:00:10Z,Lil Chainz
zpw65uKI1vk,Lil Chainz - PUTARIA E MUITA RIMA,2023-02-07T18:30:08Z,Lil Chainz
MdpIQa8x-rI,"Lil Chainz, VMZ & MHRAP - Abracadabra 🧙‍♂️ (Prod. TcheloBeats)",2023-01-18T19:30:07Z,Lil Chainz
MjT3Qu63z_Y,Lil Chainz & Akashi Cruz - JACKIE CHAN 🐉,2023-01-04T18:00:09Z,Lil Chainz
UGJZP0Stwe4,"Lil Chainz, ÉoDan, Akashi Cruz, Mikezin & MHRAP - Flow Mexicano 🇲🇽",2022-11-17T19:00:09Z,Lil Chainz
pP9_-edC3P0,Lil Chainz & Akashi Cruz - PROJETO X,2022-10-27T20:30:08Z,Lil Chainz
pu8kWICVxlY,Lil Chainz - Senpai,2022-10-05T19:00:10Z,Lil Chainz
INy_AgVIaKU,Lil Chainz - Rei dos Piratas 🏴‍☠️,2022-08-17T19:00:12Z,Lil Chainz
0Hz3ZYNIfg8,"Lil Chainz, Akashi Cruz & LYLO - Intacto",2022-07-27T19:00:15Z,Lil Chainz
kh0jSg0PIi8,Lil Chainz & VMZ - Cosplay de Amor da Minha Vida,2022-07-06T19:00:12Z,Lil Chainz
Scy_26tv3nA,Lil Chainz x M4rkim - Saiyajin,2022-06-15T20:30:12Z,Lil Chainz
YbQig7aKe9I,Lil Chainz x Mikezin x MHRAP - Tropa do Enguiça (Prod. Jonis),2022-05-18T20:30:11Z,Lil Chainz
LmqjL7f8I5c,Lil Chainz x AniRap - Líder da Toman,2022-04-20T21:30:40Z,Lil Chainz
o846krnxGoc,Lil Chainz - Maria Gasolina ⛽️,2022-02-22T20:31:02Z,Lil Chainz
U5Hai_K8BUA,Lil Chainz x Mikezin x MHRAP - Tipo Billie Jean (Prod. Jonis),2021-12-16T21:00:13Z,Lil Chainz
CJwayUDEpBE,Lil Chainz x Mikezin x Aimar - Party (Prod. Greezy),2021-12-16T20:45:10Z,Lil Chainz
YdXXVlN84ok,Lil Chainz x Mikezin - Cilada (Prod. Greezy),2021-12-16T20:30:09Z,Lil Chainz
fxKHRSgIOkk,Lil Chainz x Mikezin x VMZ - Holofotes (Prod. Jonis),2021-12-14T20:30:11Z,Lil Chainz
pLkM5M3gSxc,Lil Chainz - Não escute se estiver com saudades,2021-10-27T20:30:10Z,Lil Chainz
92FsFq5qCD4,Lil Chainz x Mikezin - Jacaré de estimação 🐊 (Prod. Jonis),2021-09-23T20:30:10Z,Lil Chainz
oPPwAG769WE,Lil Chainz x PJ HOUDINI - Meu Corre🏃🏻,2021-07-28T20:30:12Z,Lil Chainz
Q5X1fFnRmYE,Lil Chainz - Amigo Talarico 😵🔫,2021-07-14T20:30:12Z,Lil Chainz
4xGzTbIxZNc,Lil Chainz x MHRAP - Faz calor 🏖 (Prod. Jonis),2021-06-28T17:00:13Z,Lil Chainz
siqA7wbVGSY,Lil Chainz x Mikezin - Capital Girando 💰 (Prod. Jonis),2021-04-15T18:30:16Z,Lil Chainz
gYD8GuntAYM,Lil Chainz - Amiga da Onça 🐆,2021-02-24T20:30:13Z,Lil Chainz
7JuovgF3yYI,Lil Chainz x VMZ x MHRAP - Drink Azul 🏝 (Prod. Jonis),2021-01-28T17:00:47Z,Lil Chainz
OE5b5vo79zw,Lil Chainz - Sinto sua falta,2020-12-28T21:30:14Z,Lil Chainz
gGFnwAw_vnU,"Lil Chainz, Bruna Schultz - Eu ainda tô aqui",2020-12-07T22:00:13Z,Lil Chainz
F23bMH1LJ9E,Lil Chainz - Não sei o que você viu em mim,2020-10-20T22:33:21Z,Lil Chainz
3GSuJJr5OSQ,Lil Chainz - Apaixonadin,2020-09-15T22:00:01Z,Lil Chainz
D9Fsa2XPa3A,Lil Chainz - Eu te fiz sofrer,2020-08-17T23:00:01Z,Lil Chainz
4MuwKmcyA9g,Lil Chainz x VMZ x Zant - Diário das minhas lamentações (Prod. Masuk),2020-06-03T15:00:13Z,Lil Chainz
uEgBjiDp3-Q,Lil Chainz - Levo minha vida nesse corre,2020-05-25T15:00:33Z,Lil Chainz
_0hwPO2SxS4,Lil Chainz x VMZ - Fiz essa pra você lembrar de mim,2020-05-14T15:00:16Z,Lil Chainz
6FjQioSdIi0,Lil Chainz - Música pra quem partiu (Official Video),2020-04-23T21:11:00Z,Lil Chainz
AMzu6vgqMmA,Lil Chainz - Quando você vai entender,2020-02-10T22:09:06Z,Lil Chainz
o3WklS0PpnM,"Lil Chainz - ""Trap Story"" Feat. X1 (prod: @jeall.exe)",2019-12-10T23:56:58Z,Lil Chainz
pffrlweHKVo,Lil chainz - canção pra ela...,2019-11-04T21:22:22Z,Lil Chainz
suPue_LSzKQ,Lil Chainz - É facin fazer trap (Prod: @robrxk @enzotg_),2019-10-14T23:21:52Z,Lil Chainz
8hy3nl7Gw0Q,Lil Chainz x Lucas Siqueira - Musa de cinema (prod: Jonis),2019-07-25T21:03:37Z,Lil Chainz
nlTAOJYdDDc,Lil Chainz - Prada (Prod: Misery),2019-06-20T21:40:17Z,Lil Chainz
0sfMUKzt9Mo,Lil Chainz x Hiosaki - Não vou falar de amor (Prod. Pdr0sa),2019-05-19T22:00:01Z,Lil Chainz
2zQOnmXnxVo,Lil Chainz - Cada um pro seu lado,2019-05-03T21:59:54Z,Lil Chainz
iFdBiIMdwRU,Lil Chainz - Espero que tu esteja lá,2018-09-27T00:00:33Z,Lil Chainz
kXhatIWCSaU,"Lil Chainz x Sanza - Af, to muito apaixonado",2018-08-25T01:50:00Z,Lil Chainz
qVEOBR7wpVY,Lil Chainz - Sinto Tanta Falta de Nós,2018-05-05T03:31:57Z,Lil Chainz
zsuZ8IfirVY,Lil Chainz - Não Existe Final Feliz,2018-04-20T02:13:55Z,Lil Chainz
jIAZ0QA22fg,Lil Chainz - Olhos de Lua,2018-03-21T00:00:20Z,Lil Chainz
jDoOeOv9NLc,Transmissão ao vivo de zMick PvP,2016-09-15T21:10:47Z,Lil Chainz
