video_id,title,published_at,channel_title
E9fdxu2CDXc,"Silver, Vinex - Última madrugada [GRAVIDADE.3]",2023-12-20T18:00:08Z,GRAV
kbBdz-gx278,"Silver, Nova - Bomba [GRAVIDADE.2]",2023-09-14T18:00:09Z,GRAV
T7bsyg1dpYk,"Silver, Koji - Frenesi [GRAVIDADE.1]",2023-06-30T18:00:06Z,GRAV
