date,musica,artista,plataforma,url,view_count,like_count,comment_count,video_id,youtube_title,channel_title,fetched_at
2026-02-06,CAÇA ÀS BRUXAS,Lil Chainz,YouTube,https://www.youtube.com/watch?v=GKiapoYZtxs,160422,8368,368,GKiapoYZtxs,Lil Chainz & Ugovhb - CAÇA ÀS BRUXAS (Videoclipe),Lil Chainz,2026-02-06T02:59:53.705655+00:00
2026-02-06,FAÇO ACONTECER,Lil Chainz,YouTube,https://www.youtube.com/watch?v=GPKcW_QJ5BA,1163286,22770,468,GPKcW_QJ5BA,"Lil Chainz, Akashi Cruz & MHRAP - FAÇO ACONTECER",Lil Chainz,2026-02-06T02:59:54.656364+00:00
2026-02-06,MULTIPLICA,Lil Chainz,YouTube,https://www.youtube.com/watch?v=I4jx6EAj2Ig,115001,5890,224,I4jx6EAj2Ig,"Lil Chainz, Akashi Cruz & Ark King - MULTIPLICA",Lil Chainz,2026-02-06T02:59:52.800775+00:00
2026-02-06,HARDMODE!,Lil Chainz,YouTube,https://www.youtube.com/watch?v=I5yyRqfq1xI,29700,2260,65,I5yyRqfq1xI,Lil Chainz - HARDMODE!,Lil Chainz,2026-02-06T02:59:53.003145+00:00
2026-02-06,Rei dos Piratas,Lil Chainz,YouTube,https://www.youtube.com/watch?v=INy_AgVIaKU,721147,30305,838,INy_AgVIaKU,Lil Chainz - Rei dos Piratas 🏴‍☠️,Lil Chainz,2026-02-06T02:59:57.724535+00:00
2026-02-06,Jogo de Azar,Lil Chainz,YouTube,https://www.youtube.com/watch?v=IzXi9Qj7vvc,104013,4740,194,IzXi9Qj7vvc,Lil Chainz & Fontes - Jogo de Azar,Lil Chainz,2026-02-06T02:59:52.267273+00:00
2026-02-06,Daqui de Cima,Lil Chainz,YouTube,https://www.youtube.com/watch?v=J2XjuSUsIoQ,416631,13209,1365,J2XjuSUsIoQ,"Lil Chainz, Akashi Cruz, Fuub & SNIF - Daqui de Cima",Lil Chainz,2026-02-06T02:59:51.579654+00:00
2026-02-06,Mais uma música pra ela,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=K9F04tmXGt8,10980,339,12,K9F04tmXGt8,Mais uma música pra ela,Lil Chainz - Topic,2026-02-06T03:00:08.596525+00:00
2026-02-06,Amar é deixar ir,Lil Chainz,YouTube,https://www.youtube.com/watch?v=KMd-lWH2e48,359893,9817,266,KMd-lWH2e48,Lil Chainz - Amar é deixar ir,Lil Chainz,2026-02-06T02:59:49.233119+00:00
2026-02-06,Play Station,Lil Chainz,YouTube,https://www.youtube.com/watch?v=KWSHt-O-F6E,134595,6055,157,KWSHt-O-F6E,"Lil Chainz, Akashi Cruz, Fuub & SNIF - Play Station",Lil Chainz,2026-02-06T02:59:48.689262+00:00
2026-02-06,Quadrada,Lil Chainz,YouTube,https://www.youtube.com/watch?v=KwAhqicgAe4,32806,2235,65,KwAhqicgAe4,Lil Chainz - Quadrada (ft. Akashi Cruz) | EP Esperança do Meu Bairro,Lil Chainz,2026-02-06T02:59:50.607620+00:00
2026-02-06,Líder da Toman,Lil Chainz,YouTube,https://www.youtube.com/watch?v=LmqjL7f8I5c,2025867,60862,1345,LmqjL7f8I5c,Lil Chainz x AniRap - Líder da Toman,Lil Chainz,2026-02-06T02:59:58.565607+00:00
2026-02-06,Abracadabra,Lil Chainz,YouTube,https://www.youtube.com/watch?v=MdpIQa8x-rI,1476103,35186,867,MdpIQa8x-rI,"Lil Chainz, VMZ & MHRAP - Abracadabra 🧙‍♂️ (Prod. TcheloBeats)",Lil Chainz,2026-02-06T02:59:56.828956+00:00
2026-02-06,JACKIE CHAN,Lil Chainz,YouTube,https://www.youtube.com/watch?v=MjT3Qu63z_Y,844975,26951,526,MjT3Qu63z_Y,Lil Chainz & Akashi Cruz - JACKIE CHAN 🐉,Lil Chainz,2026-02-06T02:59:56.982559+00:00
2026-02-06,Você só quer biscoitar,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=MkHMDrtYgsI,7940,135,2,MkHMDrtYgsI,Você só quer biscoitar,SNIF - Topic,2026-02-06T03:00:06.190930+00:00
2026-02-06,Esperança do meu Bairro,Lil Chainz,YouTube,https://www.youtube.com/watch?v=MkkF44budfc,20642,1864,76,MkkF44budfc,Lil Chainz - Esperança do meu Bairro | EP Esperança do Meu Bairro,Lil Chainz,2026-02-06T02:59:50.769392+00:00
2026-02-06,Cascavel,Lil Chainz,YouTube,https://www.youtube.com/watch?v=NoR64RuFRYM,517749,19761,466,NoR64RuFRYM,Lil Chainz & MHRAP - Cascavel 🐍,Lil Chainz,2026-02-06T02:59:56.328373+00:00
2026-02-06,Sinto sua falta,Lil Chainz,YouTube,https://www.youtube.com/watch?v=OE5b5vo79zw,680147,27152,1121,OE5b5vo79zw,Lil Chainz - Sinto sua falta,Lil Chainz,2026-02-06T03:00:01.095635+00:00
2026-02-06,Apunhalado,Lil Chainz,YouTube,https://www.youtube.com/watch?v=OS9a7DOYIHs,106351,5276,212,OS9a7DOYIHs,Lil Chainz & Akashi Cruz - Apunhalado,Lil Chainz,2026-02-06T02:59:49.489641+00:00
2026-02-06,Não temas,Lil Chainz,YouTube,https://www.youtube.com/watch?v=OSlVb4LrS0w,57313,2022,55,OSlVb4LrS0w,Lil Chainz & ZakcZin - Não temas,Lil Chainz,2026-02-06T02:59:48.365819+00:00
2026-02-06,PACMAN,Lil Chainz,YouTube,https://www.youtube.com/watch?v=P6yg7n4NI7A,2008090,35466,766,P6yg7n4NI7A,"Lil Chainz, Aklipe44 & Akashi Cruz - PACMAN",Lil Chainz,2026-02-06T02:59:56.151496+00:00
2026-02-06,Ligação,Lil Chainz,YouTube,https://www.youtube.com/watch?v=PIYKnfisnAY,35477,1684,52,PIYKnfisnAY,Lil Chainz - Ligação (ft. Oushan) | EP Esperança do Meu Bairro,Lil Chainz,2026-02-06T02:59:50.198592+00:00
2026-02-06,BEM-VINDO AO HARDMODE (INTRO),Lil Chainz,YouTube,https://www.youtube.com/watch?v=PtiU1UQtT3w,16451,1989,99,PtiU1UQtT3w,Lil Chainz - BEM-VINDO AO HARDMODE (INTRO),Lil Chainz,2026-02-06T02:59:53.528280+00:00
2026-02-06,Amigo Talarico,Lil Chainz,YouTube,https://www.youtube.com/watch?v=Q5X1fFnRmYE,972922,42405,1302,Q5X1fFnRmYE,Lil Chainz - Amigo Talarico 😵🔫,Lil Chainz,2026-02-06T03:00:00.163121+00:00
2026-02-06,CORAÇÃO VAZIO,Lil Chainz,YouTube,https://www.youtube.com/watch?v=QOWGDfFhukc,116044,8205,210,QOWGDfFhukc,Lil Chainz - CORAÇÃO VAZIO 💔,Lil Chainz,2026-02-06T02:59:54.282442+00:00
2026-02-06,Quando você passa,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=R824YQ9Ut8s,62085,1440,17,R824YQ9Ut8s,Quando você passa,Lil Chainz - Topic,2026-02-06T03:00:07.556961+00:00
2026-02-06,Desse jeito não vai dar,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=S67tHQVRZ-Q,30019,651,16,S67tHQVRZ-Q,Desse jeito não vai dar,Lil Chainz - Topic,2026-02-06T03:00:07.922159+00:00
2026-02-06,Drink Azul 2,Lil Chainz,YouTube,https://www.youtube.com/watch?v=S8fJk9pne8Y,555832,19461,1054,S8fJk9pne8Y,Lil Chainz x VMZ x MHRAP - Drink Azul 2 🏝 (Prod. TcheloBeats),Lil Chainz,2026-02-06T02:59:53.858820+00:00
2026-02-06,Saiyajin,Lil Chainz,YouTube,https://www.youtube.com/watch?v=Scy_26tv3nA,620593,27701,671,Scy_26tv3nA,Lil Chainz x M4rkim - Saiyajin,Lil Chainz,2026-02-06T02:59:58.246953+00:00
2026-02-06,Ninho de Cobra,Lil Chainz,YouTube,https://www.youtube.com/watch?v=SntbHzpIwoE,126692,4769,415,SntbHzpIwoE,"Lil Chainz, Akashi Cruz & SNIF - Ninho de Cobra",Lil Chainz,2026-02-06T02:59:51.338172+00:00
2026-02-06,Tipo Billie Jean,Lil Chainz,YouTube,https://www.youtube.com/watch?v=U5Hai_K8BUA,803348,27201,491,U5Hai_K8BUA,Lil Chainz x Mikezin x MHRAP - Tipo Billie Jean (Prod. Jonis),Lil Chainz,2026-02-06T02:59:58.933343+00:00
2026-02-06,Flow Mexicano,Lil Chainz,YouTube,https://www.youtube.com/watch?v=UGJZP0Stwe4,3506622,66005,1326,UGJZP0Stwe4,"Lil Chainz, ÉoDan, Akashi Cruz, Mikezin & MHRAP - Flow Mexicano 🇲🇽",Lil Chainz,2026-02-06T02:59:57.198466+00:00
2026-02-06,LSD,Lil Chainz,YouTube,https://www.youtube.com/watch?v=UIVEv-UGdWs,1277958,22929,530,UIVEv-UGdWs,"Lil Chainz, Akashi Cruz & VMZ - LSD",Lil Chainz,2026-02-06T02:59:54.814744+00:00
2026-02-06,Flow Natalino,Lil Chainz,YouTube,https://www.youtube.com/watch?v=V32yj6mmV24,538993,35588,1182,V32yj6mmV24,"Lil Chainz, Lil Fuub, MHRAP, Aklipe44 & LinoMC - Flow Natalino 🎄",Lil Chainz,2026-02-06T02:59:54.125091+00:00
2026-02-06,Como esquecer ela?,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=VLoTlZEEfKU,26897,607,13,VLoTlZEEfKU,Como esquecer ela?,Lil Chainz - Topic,2026-02-06T03:00:07.764326+00:00
2026-02-06,Pacto de Rua,Lil Chainz,YouTube,https://www.youtube.com/watch?v=XfrxqyOBtTM,28026,1538,44,XfrxqyOBtTM,Lil Chainz - Pacto de Rua (ft. REAL PS) | EP Esperança do Meu Bairro,Lil Chainz,2026-02-06T02:59:50.045891+00:00
2026-02-06,Dores de um astro,Lil Chainz,YouTube,https://www.youtube.com/watch?v=YCh-UB9B9XU,92232,2451,61,YCh-UB9B9XU,Lil Chainz & ZackZin - Dores de um astro,Lil Chainz,2026-02-06T02:59:48.169619+00:00
2026-02-06,Você tem muito ego,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=YWYqcrH5tr4,6044,183,4,YWYqcrH5tr4,Você tem muito ego,SNIF - Topic,2026-02-06T03:00:05.788411+00:00
2026-02-06,Tropa do Enguiça,Lil Chainz,YouTube,https://www.youtube.com/watch?v=YbQig7aKe9I,840380,29488,604,YbQig7aKe9I,Lil Chainz x Mikezin x MHRAP - Tropa do Enguiça (Prod. Jonis),Lil Chainz,2026-02-06T02:59:58.405115+00:00
2026-02-06,Cilada,Lil Chainz,YouTube,https://www.youtube.com/watch?v=YdXXVlN84ok,561000,19149,363,YdXXVlN84ok,Lil Chainz x Mikezin - Cilada (Prod. Greezy),Lil Chainz,2026-02-06T02:59:59.295789+00:00
2026-02-06,Não precisa pedir perdão,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=Ym9WAh5Dnyg,19180,610,15,Ym9WAh5Dnyg,Não precisa pedir perdão,SNIF - Topic,2026-02-06T03:00:05.303555+00:00
2026-02-06,Fiz essa pra você lembrar de mim,Lil Chainz,YouTube,https://www.youtube.com/watch?v=_0hwPO2SxS4,4777897,91442,1906,_0hwPO2SxS4,Lil Chainz x VMZ - Fiz essa pra você lembrar de mim,Lil Chainz,2026-02-06T03:00:02.332878+00:00
2026-02-06,CAÇA ÀS BRUXAS,Lil Chainz,YouTube,https://www.youtube.com/watch?v=_8Ov5Dtsu9U,15809,2084,73,_8Ov5Dtsu9U,Lil Chainz & Ugovhb - CAÇA ÀS BRUXAS,Lil Chainz,2026-02-06T02:59:53.158855+00:00
2026-02-06,Red flags de uma garota,Lil Chainz,YouTube,https://www.youtube.com/watch?v=bTPS2htSO00,258056,7133,187,bTPS2htSO00,Lil Chainz & ZackZin - Red flags de uma garota,Lil Chainz,2026-02-06T02:59:47.845888+00:00
2026-02-06,Odeio finais,Lil Chainz,YouTube,https://www.youtube.com/watch?v=bb8k3H4VSi0,124438,3422,61,bb8k3H4VSi0,Lil Chainz & ZackZin - Odeio finais,Lil Chainz,2026-02-06T02:59:48.005734+00:00
2026-02-06,Te bloqueei de tudo,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=eHV7ZO73Wa8,10698,235,6,eHV7ZO73Wa8,Te bloqueei de tudo,SNIF - Topic,2026-02-06T03:00:06.531101+00:00
2026-02-06,FORBES,Lil Chainz,YouTube,https://www.youtube.com/watch?v=eruktG17X70,1043498,20600,374,eruktG17X70,Lil Chainz & Fuub - FORBES 💰,Lil Chainz,2026-02-06T02:59:55.930959+00:00
2026-02-06,Amar quase me matou,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=fBu8-HHu-Ho,14002,364,5,fBu8-HHu-Ho,Amar quase me matou,SNIF - Topic,2026-02-06T03:00:07.240735+00:00
2026-02-06,Se arrependeu de vacilar comigo?,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=fL4-ZIIUIik,35021,800,8,fL4-ZIIUIik,Se arrependeu de vacilar comigo?,SNIF - Topic,2026-02-06T03:00:05.489774+00:00
2026-02-06,Holofotes,Lil Chainz,YouTube,https://www.youtube.com/watch?v=fxKHRSgIOkk,626738,26999,779,fxKHRSgIOkk,Lil Chainz x Mikezin x VMZ - Holofotes (Prod. Jonis),Lil Chainz,2026-02-06T02:59:59.454822+00:00
2026-02-06,QUEM FAZ A ONDA?,Lil Chainz,YouTube,https://www.youtube.com/watch?v=g2dlycgAbec,87761,3959,155,g2dlycgAbec,Lil Chainz - QUEM FAZ A ONDA?,Lil Chainz,2026-02-06T02:59:52.647079+00:00
2026-02-06,Eu ainda tô aqui,Lil Chainz,YouTube,https://www.youtube.com/watch?v=gGFnwAw_vnU,376956,21301,867,gGFnwAw_vnU,"Lil Chainz, Bruna Schultz - Eu ainda tô aqui",Lil Chainz,2026-02-06T03:00:01.290039+00:00
2026-02-06,Amiga da Onça,Lil Chainz,YouTube,https://www.youtube.com/watch?v=gYD8GuntAYM,1358259,45067,1223,gYD8GuntAYM,Lil Chainz - Amiga da Onça 🐆,Lil Chainz,2026-02-06T03:00:00.691577+00:00
2026-02-06,Amar é mó bom,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=gmR49GCKWEI,14361,291,3,gmR49GCKWEI,Amar é mó bom,SNIF - Topic,2026-02-06T03:00:05.952029+00:00
2026-02-06,Low profile,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=i7z9gSVAwKc,17809,302,6,i7z9gSVAwKc,Low profile,SNIF - Topic,2026-02-06T03:00:06.713210+00:00
2026-02-06,Espero que tu esteja lá,Lil Chainz,YouTube,https://www.youtube.com/watch?v=iFdBiIMdwRU,283394,18476,734,iFdBiIMdwRU,Lil Chainz - Espero que tu esteja lá,Lil Chainz,2026-02-06T03:00:04.094761+00:00
2026-02-06,Nem sei mais amar,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=j1gywL81Nms,276765,5600,140,j1gywL81Nms,Nem sei mais amar,Lil Chainz - Topic,2026-02-06T03:00:07.393344+00:00
2026-02-06,Inocente,Lil Chainz,YouTube,https://www.youtube.com/watch?v=jHC8EbqAqvo,86992,3024,98,jHC8EbqAqvo,Lil Chainz & Carla Sol - Inocente,Lil Chainz,2026-02-06T02:59:49.050206+00:00
2026-02-06,Olhos de Lua,Lil Chainz,YouTube,https://www.youtube.com/watch?v=jIAZ0QA22fgLil Chainz,119823,7415,260,jIAZ0QA22fg,Lil Chainz - Olhos de Lua,Lil Chainz,2026-02-06T03:00:04.854861+00:00
